House,OWLs,House Points Won,House Points lost,Total Points for the Year,Year
Ravenclaw,5,278,15,263,5
Ravenclaw,5,291,28,263,6
Ravenclaw,5,291,28,263,6
Hufflepuff,5,296,33,263,6
Slytherin,5,297,35,262,6
Ravenclaw,5,299,37,262,7
Ravenclaw,5,290,28,262,7
Ravenclaw,5,297,35,262,7
Ravenclaw,5,297,35,262,6
Ravenclaw,5,281,20,261,7
Ravenclaw,5,291,30,261,7
Ravenclaw,5,297,36,261,5
Ravenclaw,5,291,30,261,6
Slytherin,5,290,30,260,6
Ravenclaw,5,289,29,260,7
Ravenclaw,5,290,30,260,7
Ravenclaw,5,279,19,260,5
Gryffindor,5,289,30,259,6
Slytherin,5,296,37,259,6
Slytherin,5,299,40,259,6
Ravenclaw,5,278,19,259,7
Ravenclaw,5,294,35,259,7
Ravenclaw,5,284,25,259,5
Ravenclaw,5,298,39,259,6
Slytherin,5,278,20,258,6
Ravenclaw,5,268,10,258,7
Ravenclaw,5,287,29,258,6
Slytherin,5,267,10,257,6
Slytherin,5,297,40,257,7
Ravenclaw,5,296,39,257,7
Ravenclaw,5,284,27,257,6
Ravenclaw,5,287,30,257,6
Hufflepuff,5,294,37,257,7
Slytherin,5,259,3,256,5
Slytherin,5,291,35,256,7
Ravenclaw,5,296,40,256,7
Ravenclaw,5,291,35,256,7
Ravenclaw,5,291,35,256,5
Ravenclaw,5,271,15,256,5
Ravenclaw,5,291,35,256,5
Ravenclaw,5,284,28,256,5
Ravenclaw,5,275,19,256,6
Slytherin,5,298,43,255,7
Ravenclaw,5,298,43,255,7
Ravenclaw,5,297,42,255,7
Ravenclaw,5,284,29,255,5
Ravenclaw,5,274,19,255,6
Hufflepuff,5,284,29,255,5
Hufflepuff,5,290,35,255,6
Gryffindor,5,289,35,254,7
Slytherin,5,273,19,254,6
Slytherin,5,279,25,254,7
Ravenclaw,5,294,40,254,7
Ravenclaw,5,291,37,254,6
Ravenclaw,5,284,30,254,6
Ravenclaw,5,289,35,254,6
Slytherin,5,298,45,253,6
Ravenclaw,5,298,45,253,7
Ravenclaw,5,287,35,252,7
Ravenclaw,5,280,28,252,7
Ravenclaw,5,287,35,252,7
Ravenclaw,5,281,29,252,7
Ravenclaw,5,267,15,252,5
Ravenclaw,5,291,39,252,6
Ravenclaw,5,290,38,252,6
Hufflepuff,5,267,15,252,5
Gryffindor,5,276,25,251,7
Slytherin,5,291,40,251,7
Ravenclaw,5,291,40,251,7
Ravenclaw,5,296,45,251,6
Ravenclaw,5,296,45,251,6
Ravenclaw,5,275,25,250,7
Ravenclaw,5,265,15,250,6
Hufflepuff,5,278,28,250,5
Hufflepuff,4,259,10,249,7
Slytherin,5,298,49,249,5
Slytherin,5,284,35,249,7
Slytherin,5,278,29,249,7
Ravenclaw,5,284,35,249,7
Ravenclaw,5,294,45,249,5
Ravenclaw,5,264,15,249,5
Ravenclaw,5,278,29,249,5
Ravenclaw,5,278,29,249,6
Ravenclaw,5,259,10,249,6
Ravenclaw,5,278,29,249,6
Ravenclaw,5,291,43,248,7
Ravenclaw,5,291,43,248,5
Ravenclaw,5,271,23,248,6
Ravenclaw,5,267,19,248,6
Hufflepuff,5,298,50,248,6
Gryffindor,5,267,20,247,6
Gryffindor,5,297,50,247,6
Ravenclaw,5,276,29,247,7
Ravenclaw,5,267,20,247,7
Hufflepuff,5,287,40,247,6
Slytherin,5,289,43,246,6
Slytherin,5,291,45,246,7
Ravenclaw,5,284,38,246,7
Hufflepuff,5,278,32,246,5
Slytherin,5,287,42,245,6
Ravenclaw,5,273,28,245,7
Ravenclaw,5,278,33,245,7
Hufflepuff,5,284,39,245,7
Hufflepuff,5,264,19,245,7
Hufflepuff,4,259,15,244,6
Slytherin,5,274,30,244,6
Ravenclaw,5,284,40,244,7
Ravenclaw,5,264,20,244,7
Slytherin,5,278,35,243,7
Slytherin,5,287,45,242,5
Slytherin,5,271,29,242,6
Ravenclaw,5,287,45,242,7
Ravenclaw,5,278,36,242,7
Hufflepuff,5,287,45,242,6
Hufflepuff,5,267,25,242,6
Slytherin,5,284,43,241,7
Ravenclaw,5,256,15,241,7
Ravenclaw,5,291,50,241,7
Ravenclaw,5,256,15,241,5
Slytherin,5,275,35,240,7
Ravenclaw,5,289,49,240,7
Ravenclaw,5,278,38,240,5
Slytherin,5,267,28,239,6
Slytherin,5,278,39,239,6
Slytherin,5,254,15,239,6
Hufflepuff,5,254,15,239,5
Hufflepuff,5,275,36,239,5
Gryffindor,5,278,40,238,6
Slytherin,5,287,49,238,5
Slytherin,5,268,30,238,7
Ravenclaw,5,267,29,238,7
Ravenclaw,5,281,43,238,6
Hufflepuff,5,267,29,238,7
Slytherin,5,280,43,237,6
Slytherin,5,257,20,237,7
Ravenclaw,5,267,30,237,7
Slytherin,5,281,45,236,6
Slytherin,5,291,55,236,7
Ravenclaw,5,275,39,236,5
Ravenclaw,5,279,43,236,6
Ravenclaw,5,278,42,236,6
Hufflepuff,5,256,20,236,6
Gryffindor,5,265,30,235,6
Ravenclaw,5,267,32,235,7
Hufflepuff,5,284,49,235,7
Hufflepuff,5,265,30,235,6
Slytherin,5,249,15,234,5
Ravenclaw,5,281,47,234,6
Ravenclaw,5,284,50,234,6
Gryffindor,5,243,10,233,6
Ravenclaw,5,248,15,233,6
Ravenclaw,5,271,39,232,7
Ravenclaw,5,281,49,232,7
Gryffindor,5,276,45,231,7
Slytherin,5,281,50,231,7
Ravenclaw,5,256,25,231,7
Ravenclaw,5,271,40,231,6
Hufflepuff,4,233,3,230,6
Hufflepuff,4,259,29,230,5
Slytherin,5,232,2,230,5
Ravenclaw,5,275,45,230,5
Ravenclaw,5,279,49,230,5
Hufflepuff,5,279,49,230,5
Gryffindor,5,249,20,229,5
Ravenclaw,5,279,50,229,7
Ravenclaw,5,257,28,229,5
Ravenclaw,5,278,49,229,6
Hufflepuff,5,268,39,229,5
Hufflepuff,5,257,28,229,5
Gryffindor,4,243,15,228,7
Hufflepuff,4,243,15,228,6
Slytherin,5,243,15,228,5
Ravenclaw,5,257,29,228,5
Ravenclaw,5,243,15,228,6
Ravenclaw,5,276,48,228,6
Ravenclaw,5,256,29,227,7
Ravenclaw,5,256,29,227,6
Ravenclaw,5,267,40,227,6
Ravenclaw,5,271,45,226,7
Slytherin,5,265,40,225,5
Slytherin,5,265,40,225,6
Ravenclaw,5,274,49,225,7
Ravenclaw,5,268,43,225,6
Gryffindor,4,257,33,224,5
Hufflepuff,4,259,35,224,5
Hufflepuff,4,259,35,224,6
Slytherin,5,274,50,224,6
Ravenclaw,5,274,50,224,7
Ravenclaw,5,254,30,224,7
Ravenclaw,5,284,60,224,6
Slytherin,5,253,30,223,5
Slytherin,5,238,15,223,5
Ravenclaw,5,278,55,223,7
Hufflepuff,4,237,15,222,7
Ravenclaw,5,265,43,222,7
Hufflepuff,5,271,49,222,5
Ravenclaw,4,249,28,221,5
Hufflepuff,4,223,2,221,5
Gryffindor,5,259,39,220,5
Ravenclaw,5,265,45,220,7
Ravenclaw,5,268,48,220,5
Slytherin,4,229,10,219,7
Ravenclaw,4,234,15,219,7
Hufflepuff,4,234,15,219,5
Hufflepuff,4,224,5,219,5
Hufflepuff,4,234,15,219,6
Ravenclaw,5,268,49,219,5
Ravenclaw,5,259,40,219,6
Ravenclaw,4,223,5,218,7
Hufflepuff,4,253,35,218,6
Hufflepuff,4,233,15,218,6
Hufflepuff,4,243,25,218,6
Hufflepuff,4,233,15,218,6
Gryffindor,5,238,20,218,5
Ravenclaw,5,223,5,218,6
Ravenclaw,4,232,15,217,7
Hufflepuff,4,232,15,217,5
Hufflepuff,4,249,32,217,7
Hufflepuff,4,232,15,217,6
Slytherin,5,232,15,217,5
Gryffindor,5,243,27,216,5
Ravenclaw,5,264,48,216,7
Ravenclaw,5,264,48,216,6
Ravenclaw,4,235,20,215,6
Slytherin,4,259,45,214,7
Ravenclaw,4,229,15,214,7
Ravenclaw,4,259,45,214,7
Hufflepuff,4,243,29,214,7
Hufflepuff,4,229,15,214,6
Hufflepuff,4,219,5,214,6
Hufflepuff,4,229,15,214,6
Slytherin,5,229,15,214,5
Ravenclaw,5,229,15,214,7
Ravenclaw,5,264,50,214,6
Hufflepuff,4,228,15,213,5
Gryffindor,5,232,19,213,5
Ravenclaw,5,232,19,213,7
Ravenclaw,5,257,45,212,6
Ravenclaw,4,216,5,211,7
Ravenclaw,4,221,10,211,6
Hufflepuff,4,221,10,211,6
Slytherin,5,231,20,211,5
Ravenclaw,5,256,45,211,6
Ravenclaw,4,259,49,210,5
Ravenclaw,4,224,15,209,5
Ravenclaw,4,237,28,209,5
Ravenclaw,4,219,10,209,6
Hufflepuff,4,234,25,209,6
Ravenclaw,4,218,10,208,7
Ravenclaw,4,233,25,208,7
Ravenclaw,4,243,35,208,7
Ravenclaw,4,223,15,208,5
Hufflepuff,4,223,15,208,6
Ravenclaw,5,233,25,208,6
Slytherin,4,242,35,207,5
Ravenclaw,4,222,15,207,7
Slytherin,4,249,43,206,7
Ravenclaw,4,221,15,206,7
Slytherin,5,221,15,206,5
Ravenclaw,5,221,15,206,7
Hufflepuff,5,256,50,206,7
Gryffindor,5,228,23,205,5
Slytherin,5,234,29,205,5
Slytherin,5,220,15,205,5
Slytherin,4,227,23,204,6
Ravenclaw,4,219,15,204,7
Hufflepuff,4,233,29,204,5
Hufflepuff,4,223,19,204,5
Hufflepuff,4,232,28,204,7
Ravenclaw,5,219,15,204,7
Slytherin,4,243,40,203,7
Ravenclaw,5,248,45,203,7
Slytherin,4,232,30,202,7
Ravenclaw,4,217,15,202,7
Ravenclaw,4,217,15,202,6
Hufflepuff,4,238,36,202,7
Hufflepuff,4,217,15,202,6
Ravenclaw,5,257,55,202,7
Ravenclaw,5,222,20,202,6
Slytherin,4,221,20,201,7
Ravenclaw,4,220,19,201,5
Hufflepuff,4,229,28,201,7
Hufflepuff,4,231,30,201,6
Hufflepuff,4,221,20,201,6
Slytherin,4,220,20,200,7
Ravenclaw,4,219,19,200,7
Hufflepuff,4,229,29,200,6
Hufflepuff,4,243,43,200,6
Hufflepuff,4,219,19,200,7
Gryffindor,5,229,29,200,5
Ravenclaw,5,243,43,200,6
Ravenclaw,4,209,10,199,5
Hufflepuff,4,219,20,199,6
Hufflepuff,4,234,35,199,6
Slytherin,5,234,35,199,5
Slytherin,5,234,35,199,5
Ravenclaw,5,234,35,199,6
Hufflepuff,4,217,19,198,6
Gryffindor,5,231,33,198,7
Slytherin,5,248,50,198,6
Ravenclaw,5,223,25,198,6
Ravenclaw,4,217,20,197,7
Ravenclaw,4,199,2,197,7
Ravenclaw,5,232,35,197,6
Slytherin,4,238,42,196,7
Ravenclaw,4,211,15,196,5
Hufflepuff,4,221,25,196,5
Hufflepuff,4,211,15,196,5
Hufflepuff,4,211,15,196,5
Slytherin,5,221,25,196,5
Slytherin,5,211,15,196,5
Ravenclaw,5,229,33,196,6
Slytherin,4,215,20,195,6
Ravenclaw,4,210,15,195,5
Ravenclaw,4,232,37,195,5
Hufflepuff,4,243,48,195,5
Hufflepuff,4,210,15,195,5
Hufflepuff,4,224,29,195,6
Slytherin,5,224,29,195,5
Slytherin,5,200,5,195,5
Ravenclaw,5,220,25,195,7
Ravenclaw,5,224,29,195,6
Slytherin,4,199,5,194,5
Slytherin,4,237,43,194,7
Ravenclaw,4,219,25,194,7
Ravenclaw,4,243,49,194,5
Hufflepuff,4,209,15,194,5
Hufflepuff,4,209,15,194,5
Hufflepuff,4,209,15,194,5
Hufflepuff,4,229,35,194,7
Slytherin,5,229,35,194,5
Slytherin,5,209,15,194,5
Ravenclaw,5,209,15,194,7
Gryffindor,4,198,5,193,6
Gryffindor,4,198,5,193,7
Ravenclaw,4,221,28,193,5
Gryffindor,5,198,5,193,7
Slytherin,5,228,35,193,5
Ravenclaw,5,233,40,193,6
Hufflepuff,4,217,25,192,6
Gryffindor,5,235,43,192,6
Slytherin,5,221,29,192,5
Slytherin,5,237,45,192,5
Gryffindor,4,193,2,191,6
Slytherin,4,211,20,191,6
Slytherin,5,219,28,191,5
Ravenclaw,5,221,30,191,6
Gryffindor,4,209,19,190,7
Ravenclaw,4,229,39,190,5
Hufflepuff,4,219,29,190,5
Hufflepuff,4,235,45,190,7
Hufflepuff,4,219,29,190,6
Hufflepuff,4,222,32,190,6
Gryffindor,5,209,19,190,6
Slytherin,5,209,19,190,5
Gryffindor,4,218,29,189,6
Gryffindor,4,204,15,189,7
Slytherin,4,217,28,189,6
Ravenclaw,4,228,39,189,5
Ravenclaw,4,238,49,189,5
Gryffindor,5,199,10,189,7
Hufflepuff,5,232,43,189,7
Gryffindor,4,198,10,188,6
Ravenclaw,4,218,30,188,6
Hufflepuff,4,198,10,188,7
Gryffindor,5,228,40,188,6
Slytherin,5,198,10,188,5
Ravenclaw,5,223,35,188,6
Gryffindor,4,190,3,187,6
Hufflepuff,4,222,35,187,5
Hufflepuff,4,223,36,187,6
Gryffindor,5,217,30,187,6
Gryffindor,4,211,25,186,7
Slytherin,4,201,15,186,5
Ravenclaw,4,216,30,186,6
Hufflepuff,5,229,43,186,7
Slytherin,4,200,15,185,5
Ravenclaw,4,235,50,185,7
Slytherin,4,219,35,184,5
Ravenclaw,4,209,25,184,7
Hufflepuff,4,229,45,184,5
Hufflepuff,4,199,15,184,7
Slytherin,5,222,38,184,5
Slytherin,5,209,25,184,5
Ravenclaw,5,229,45,184,6
Slytherin,4,218,35,183,5
Gryffindor,4,197,15,182,7
Slytherin,4,197,15,182,5
Hufflepuff,4,210,28,182,6
Slytherin,5,217,35,182,5
Ravenclaw,5,217,35,182,6
Slytherin,4,210,29,181,5
Gryffindor,5,209,28,181,5
Slytherin,5,210,29,181,5
Slytherin,4,209,29,180,5
Slytherin,4,190,10,180,5
Slytherin,4,199,19,180,5
Slytherin,4,205,25,180,5
Slytherin,4,225,45,180,5
Ravenclaw,4,209,29,180,5
Ravenclaw,4,199,19,180,5
Hufflepuff,4,209,29,180,7
Slytherin,5,223,43,180,5
Gryffindor,4,189,10,179,5
Slytherin,4,199,20,179,5
Slytherin,4,209,30,179,5
Slytherin,4,189,10,179,6
Slytherin,4,198,19,179,7
Ravenclaw,4,219,40,179,6
Ravenclaw,4,184,5,179,6
Hufflepuff,4,217,38,179,5
Gryffindor,5,221,42,179,6
Slytherin,5,219,40,179,5
Hufflepuff,5,209,30,179,6
Hufflepuff,5,219,40,179,6
Slytherin,4,218,40,178,5
Slytherin,4,198,20,178,5
Slytherin,4,221,43,178,5
Slytherin,4,206,28,178,6
Slytherin,4,228,50,178,7
Ravenclaw,4,198,20,178,6
Hufflepuff,4,223,45,178,5
Hufflepuff,4,221,43,178,7
Hufflepuff,4,223,45,178,6
Slytherin,5,223,45,178,5
Hufflepuff,5,220,42,178,6
Hufflepuff,3,198,21,177,5
Gryffindor,4,212,35,177,7
Ravenclaw,4,209,32,177,5
Hufflepuff,4,217,40,177,7
Hufflepuff,4,217,40,177,7
Gryffindor,5,237,60,177,5
Gryffindor,4,205,29,176,6
Hufflepuff,4,199,23,176,7
Hufflepuff,4,219,43,176,7
Hufflepuff,5,221,45,176,7
Slytherin,4,190,15,175,6
Slytherin,4,194,19,175,7
Ravenclaw,4,211,36,175,5
Gryffindor,5,218,43,175,6
Gryffindor,4,193,19,174,6
Gryffindor,4,189,15,174,7
Slytherin,4,199,25,174,5
Slytherin,4,189,15,174,5
Hufflepuff,4,216,43,173,7
Gryffindor,5,221,48,173,5
Gryffindor,5,220,47,173,5
Slytherin,4,187,15,172,5
Slytherin,4,221,49,172,6
Slytherin,4,199,27,172,7
Hufflepuff,4,221,49,172,7
Hufflepuff,4,211,39,172,6
Gryffindor,4,199,28,171,6
Gryffindor,4,190,19,171,6
Slytherin,4,200,29,171,5
Slytherin,4,200,29,171,6
Slytherin,4,220,49,171,6
Slytherin,4,210,39,171,6
Slytherin,4,190,19,171,7
Hufflepuff,4,220,49,171,7
Gryffindor,5,216,45,171,6
Slytherin,4,185,15,170,6
Slytherin,4,209,39,170,6
Slytherin,4,219,49,170,6
Slytherin,4,199,29,170,7
Gryffindor,5,198,28,170,6
Gryffindor,4,198,29,169,6
Gryffindor,4,198,29,169,7
Slytherin,4,189,20,169,5
Slytherin,4,198,29,169,5
Slytherin,4,198,29,169,7
Ravenclaw,4,198,29,169,7
Ravenclaw,4,198,29,169,5
Hufflepuff,4,219,50,169,7
Hufflepuff,4,198,29,169,6
Gryffindor,5,219,50,169,6
Ravenclaw,5,219,50,169,6
Gryffindor,4,198,30,168,5
Gryffindor,4,178,10,168,6
Slytherin,4,187,19,168,5
Slytherin,4,198,30,168,7
Ravenclaw,4,197,29,168,7
Hufflepuff,4,218,50,168,7
Gryffindor,5,196,28,168,6
Gryffindor,4,182,15,167,5
Gryffindor,4,203,36,167,6
Gryffindor,4,187,20,167,6
Ravenclaw,4,209,42,167,6
Hufflepuff,4,186,19,167,7
Slytherin,5,199,32,167,5
Slytherin,4,198,32,166,6
Ravenclaw,4,221,55,166,7
Gryffindor,4,193,28,165,6
Gryffindor,4,210,45,165,6
Slytherin,4,193,28,165,7
Hufflepuff,4,190,25,165,7
Ravenclaw,4,167,3,164,7
Hufflepuff,4,199,35,164,6
Gryffindor,4,178,15,163,6
Gryffindor,4,178,15,163,7
Gryffindor,4,178,15,163,7
Slytherin,4,198,35,163,5
Slytherin,4,178,15,163,5
Slytherin,4,199,36,163,6
Ravenclaw,4,193,30,163,6
Hufflepuff,4,173,10,163,7
Slytherin,5,211,48,163,5
Gryffindor,4,187,25,162,5
Gryffindor,4,197,35,162,6
Gryffindor,4,191,29,162,6
Gryffindor,4,191,29,162,6
Ravenclaw,4,197,35,162,6
Gryffindor,5,211,49,162,5
Gryffindor,5,199,37,162,6
Ravenclaw,5,217,55,162,6
Gryffindor,4,200,39,161,6
Gryffindor,4,186,25,161,6
Gryffindor,4,176,15,161,7
Gryffindor,4,176,15,161,7
Hufflepuff,4,189,28,161,7
Gryffindor,5,180,19,161,6
Gryffindor,4,203,43,160,6
Slytherin,4,190,30,160,5
Slytherin,4,198,38,160,5
Hufflepuff,4,189,29,160,6
Hufflepuff,4,209,49,160,6
Gryffindor,5,209,49,160,5
Slytherin,5,196,36,160,5
Slytherin,5,189,29,160,5
Slytherin,5,209,49,160,5
Gryffindor,4,174,15,159,5
Gryffindor,4,209,50,159,6
Ravenclaw,4,199,40,159,7
Ravenclaw,4,184,25,159,6
Ravenclaw,4,199,40,159,6
Hufflepuff,4,196,37,159,7
Gryffindor,4,190,32,158,6
Gryffindor,4,178,20,158,6
Slytherin,4,187,29,158,5
Slytherin,4,173,15,158,6
Slytherin,5,186,28,158,5
Gryffindor,3,180,23,157,6
Gryffindor,4,182,25,157,5
Gryffindor,4,200,43,157,6
Gryffindor,4,199,42,157,6
Slytherin,4,217,60,157,6
Hufflepuff,4,187,30,157,7
Gryffindor,5,186,29,157,6
Hufflepuff,3,176,20,156,5
Hufflepuff,3,185,29,156,5
Gryffindor,4,158,2,156,5
Gryffindor,4,199,43,156,6
Gryffindor,4,194,38,156,6
Hufflepuff,4,198,42,156,7
Hufflepuff,4,189,33,156,7
Gryffindor,4,183,28,155,6
Ravenclaw,4,184,29,155,7
Ravenclaw,4,190,35,155,7
Ravenclaw,4,198,43,155,6
Gryffindor,4,194,40,154,6
Gryffindor,4,179,25,154,6
Gryffindor,4,189,35,154,6
Ravenclaw,4,184,30,154,7
Hufflepuff,4,184,30,154,7
Hufflepuff,4,189,35,154,6
Hufflepuff,3,168,15,153,5
Gryffindor,4,188,35,153,6
Gryffindor,4,188,35,153,6
Ravenclaw,4,186,33,153,7
Ravenclaw,4,198,45,153,7
Ravenclaw,4,193,40,153,7
Hufflepuff,4,193,40,153,7
Hufflepuff,3,189,37,152,7
Gryffindor,4,167,15,152,5
Gryffindor,4,167,15,152,7
Hufflepuff,4,197,45,152,6
Slytherin,4,199,48,151,5
Ravenclaw,4,189,38,151,7
Gryffindor,3,184,34,150,5
Gryffindor,3,189,39,150,5
Gryffindor,4,189,39,150,6
Gryffindor,4,180,30,150,6
Gryffindor,4,165,15,150,7
Slytherin,4,178,28,150,5
Slytherin,4,200,50,150,5
Gryffindor,5,189,39,150,6
Hufflepuff,3,187,38,149,5
Gryffindor,4,164,15,149,5
Gryffindor,4,189,40,149,5
Gryffindor,4,178,29,149,5
Gryffindor,4,189,40,149,6
Ravenclaw,4,189,40,149,6
Hufflepuff,4,198,49,149,7
Hufflepuff,4,178,29,149,6
Hufflepuff,3,168,20,148,5
Hufflepuff,3,176,28,148,7
Gryffindor,4,193,45,148,6
Slytherin,4,178,30,148,5
Gryffindor,4,195,48,147,6
Ravenclaw,4,187,40,147,6
Hufflepuff,4,190,43,147,6
Gryffindor,4,179,33,146,6
Gryffindor,4,156,10,146,7
Gryffindor,4,178,32,146,7
Ravenclaw,4,196,50,146,7
Ravenclaw,4,189,43,146,7
Ravenclaw,4,196,50,146,5
Ravenclaw,4,189,43,146,5
Hufflepuff,3,150,5,145,5
Gryffindor,4,194,49,145,6
Gryffindor,4,168,23,145,6
Gryffindor,4,180,35,145,6
Gryffindor,4,190,45,145,7
Slytherin,4,190,45,145,5
Slytherin,4,178,33,145,5
Ravenclaw,4,180,35,145,7
Ravenclaw,4,190,45,145,6
Ravenclaw,4,180,35,145,6
Hufflepuff,4,165,20,145,7
Gryffindor,4,174,30,144,6
Gryffindor,4,187,43,144,6
Slytherin,4,189,45,144,5
Ravenclaw,4,189,45,144,7
Ravenclaw,4,187,43,144,7
Ravenclaw,4,173,29,144,7
Gryffindor,4,178,35,143,5
Ravenclaw,4,186,43,143,6
Ravenclaw,4,178,35,143,6
Ravenclaw,4,173,30,143,6
Gryffindor,4,145,3,142,5
Hufflepuff,4,197,55,142,7
Hufflepuff,4,180,38,142,6
Gryffindor,4,156,15,141,5
Gryffindor,4,156,15,141,5
Hufflepuff,4,180,39,141,7
Slytherin,5,180,39,141,5
Gryffindor,3,172,32,140,7
Gryffindor,4,175,35,140,5
Slytherin,4,163,23,140,5
Slytherin,4,187,47,140,7
Hufflepuff,3,167,28,139,7
Gryffindor,4,174,35,139,5
Hufflepuff,4,184,45,139,7
Slytherin,5,189,50,139,5
Gryffindor,4,187,49,138,6
Gryffindor,4,183,45,138,6
Slytherin,4,148,10,138,5
Slytherin,4,167,29,138,7
Ravenclaw,4,173,35,138,7
Ravenclaw,4,173,35,138,6
Hufflepuff,4,167,29,138,6
Gryffindor,4,167,30,137,6
Gryffindor,4,187,50,137,6
Slytherin,4,152,15,137,6
Hufflepuff,3,146,10,136,5
Gryffindor,4,184,48,136,5
Slytherin,4,184,48,136,7
Gryffindor,4,164,29,135,5
Gryffindor,4,154,19,135,5
Slytherin,4,174,39,135,7
Ravenclaw,4,180,45,135,7
Ravenclaw,4,180,45,135,6
Hufflepuff,3,149,15,134,5
Hufflepuff,3,153,19,134,7
Ravenclaw,4,189,55,134,6
Hufflepuff,4,189,55,134,7
Gryffindor,3,163,30,133,7
Hufflepuff,3,158,25,133,5
Gryffindor,4,153,20,133,5
Hufflepuff,4,153,20,133,7
Hufflepuff,4,178,45,133,7
Hufflepuff,4,173,40,133,7
Ravenclaw,4,165,33,132,6
Hufflepuff,4,167,35,132,7
Gryffindor,3,163,32,131,5
Gryffindor,4,174,43,131,5
Gryffindor,4,168,37,131,6
Hufflepuff,3,149,19,130,5
Gryffindor,4,145,15,130,5
Gryffindor,4,145,15,130,5
Slytherin,4,167,37,130,5
Ravenclaw,4,165,35,130,7
Ravenclaw,4,178,48,130,7
Hufflepuff,4,180,50,130,7
Slytherin,5,173,43,130,5
Hufflepuff,3,154,25,129,5
Gryffindor,4,169,40,129,5
Gryffindor,4,169,40,129,6
Gryffindor,3,167,39,128,5
Gryffindor,4,173,45,128,5
Gryffindor,4,163,35,128,5
Slytherin,4,156,28,128,5
Hufflepuff,4,158,30,128,7
Gryffindor,3,157,30,127,6
Gryffindor,4,132,5,127,5
Gryffindor,4,142,15,127,5
Gryffindor,4,147,20,127,6
Hufflepuff,3,165,39,126,7
Slytherin,4,154,28,126,5
Hufflepuff,3,164,39,125,5
Gryffindor,4,174,49,125,6
Hufflepuff,4,173,48,125,6
Slytherin,5,180,55,125,5
Gryffindor,3,152,29,123,5
Hufflepuff,3,147,24,123,5
Slytherin,4,138,15,123,5
Gryffindor,4,167,45,122,6
Slytherin,4,147,25,122,5
Slytherin,4,157,35,122,5
Hufflepuff,3,150,29,121,5
Gryffindor,4,166,45,121,5
Gryffindor,4,159,38,121,5
Gryffindor,4,176,55,121,6
Gryffindor,3,150,30,120,7
Hufflepuff,3,145,25,120,5
Hufflepuff,3,128,8,120,5
Gryffindor,4,170,50,120,6
Slytherin,4,139,19,120,5
Hufflepuff,3,134,15,119,5
Gryffindor,4,148,29,119,5
Slytherin,4,168,49,119,5
Gryffindor,3,152,34,118,5
Gryffindor,3,128,10,118,6
Hufflepuff,3,138,20,118,5
Ravenclaw,4,158,40,118,7
Ravenclaw,4,153,35,118,7
Gryffindor,3,147,30,117,7
Gryffindor,4,142,25,117,5
Gryffindor,4,132,15,117,5
Slytherin,4,167,50,117,5
Slytherin,4,152,35,117,5
Slytherin,4,147,30,117,5
Ravenclaw,4,167,50,117,6
Gryffindor,4,145,30,115,6
Gryffindor,4,154,39,115,7
Gryffindor,3,142,28,114,5
Slytherin,4,149,35,114,5
Slytherin,5,129,15,114,5
Hufflepuff,3,119,6,113,7
Hufflepuff,3,132,19,113,7
Hufflepuff,3,132,19,113,6
Gryffindor,3,142,30,112,7
Hufflepuff,3,152,40,112,6
Gryffindor,4,148,36,112,7
Slytherin,4,152,40,112,5
